Class,Title,Description,BodyText,ImageSrc,ImageSrc2,Caption,Caption2,Link,Keywords,
left,"Arcangel, Cory","USA, post-conceptual","Cory Arcangel (born 1978, Buffalo, NY), is an artist, composer, curator, and entrepreneur living and working in Stavanger, Norway. Arcangel explores the potential and failures of old and new digital technologies, highlighting their obsolescence, humour, aesthetic attributes and, at times, eerie influence in contemporary life. Applying a semi-archeological methodology, his practice explores, encodes, and hacks the structural language of video games, software, social media and machine learning — treating them as subject matter and medium. ",https://www.arshake.com/wp-content/uploads/2016/02/Cory-Arcangel-01.jpg,,"Data Diaries, 2003",,https://www.lissongallery.com/artists/cory-arcangel; https://anthology.rhizome.org/data-diaries-2003,"Website, Computer’s Life", 
leftDoubleImage,,"Data Diaries, 2003","This entry focuses on his Data Diaries (2003, commissioned by turbulence.org). In this work, Cory Arcangel used the contents of his computer’s temporary storage (RAM) as raw material for a series of abstract, glitchy videos. Each day over the course of a month, he would employ a hack to open this normally unseen data in QuickTime, which translated it into frenetic patterns of blocks and digital static. The resulting videos are presented on a website with a handmade, “dirt style” aesthetic, featuring visual and navigation elements that were created with a clone of the 1980s graphics program MacPaint. A scribbled calendar of the month of January 2003 allows users to access the video generated on any given day. As an autobiographical portrait of the artist and a record of the artistic process, Data Diaries evokes the subjectivity of the computer user. By rendering the artist’s data illegible, it allows the desktop computer to remain a private world, but one that is inextricable from the technical logic of the machine. Blending the machinic with the cultural and personal, Data Diaries speaks to the concerns of a generation of artists who used the personal computer as a creative tool since childhood.",https://d1v7jayx2s9clc.cloudfront.net/user/pages/19.data-diaries-2003/Arcangel_screenshot_8_color.png,https://d1v7jayx2s9clc.cloudfront.net/user/pages/19.data-diaries-2003/Arcangel_screenshot_16.png,"Data Diaries, 2003",,https://anthology.rhizome.org/data-diaries-2003,"Website, Computer’s Life",
left,"Artist, American","USA, interdisciplinary","American Artist (born 1989) is a contemporary artist working in new media, video, installation and writing. They legally changed their name to American Artist in 2013 in order to re-contextualize the definition of the term ""American artist""—at once taking on the name of an anonymous term while becoming the embodiment of its meaning. Their work, in Artist's words, focuses on themes surrounding ""blackness, being, and resistance in the context of networked virtual life.""

American Artist is an interdisciplinary artist whose work considers Black labour and visibility, as well as anti-blackness within networked life and digital systems. Their work includes video, installation, new media, and writing, and their legal name change to American Artist serves as an ambivalent foundation for their practice. It insists on blackness as descriptive of an American artist and, at the same time, erases identity in virtual spaces where “American Artist” is an anonymous name, unable to be googled or validated by a computer as a person’s name.",https://sites.duke.edu/criticalmaking/files/2021/12/AArtist_Housing_MOAD_1-683x1024.jpeg,,"Mother of All Demos II, 2021",,https://whitney.org/artists/17525,"Identity, PC, Race, Human’s Life",
leftDoubleImage,,"American Artist, Mother of All Demos II, 2021","This page looks at Artist's Mother of All Demos II, 2021, created using dirt, monochome CRT monitor, computer parts, Linux operating system, subwoofer cable, wood, asphalt. This computer embodies qualities that are antithetical to high technology: blackness, brokenness, slowness, and transparency. Its shape is modelled after the Apple II, the last personal computer to use an all black interface: a thick layer of dirt is covering it, and a mysterious dark fluid is oozing from its keys. The computer here works as a metaphor for modernity, and, furthermore, modernity here is “birthed” from Black labor. Blackness is not only the origin of all things, but it is also the hidden DNA within technology. The sculpture, made of dirt with black goo on the surface, is named after the seminal demo in 1968 of the first computer graphical user interface.",https://images.squarespace-cdn.com/content/v1/59238d36d2b8575d127794a4/bf853914-7589-404d-9bde-3da2496fd78a/0E4A3386.jpg,https://images.squarespace-cdn.com/content/v1/59238d36d2b8575d127794a4/549e566b-4c8c-45ad-a17c-218d8dc12341/0E4A3367.jpg,"Mother of All Demos II, 2021",,https://www.artsy.net/artwork/american-artist-mother-of-all-demos-ii,"Identity, PC, Race, Human’s Life",
left,"Bartholl, Aram ","Germany, sculptural intervention, installation, performative workshop","Aram Bartholl (born 1972, Bremen, Germany) uses sculptural interventions, installations, and performative workshops to question our engagement with media and with public economies linked to social networks, online platforms, and digital dissemination strategies. He addresses socially relevant topics, including surveillance, data privacy and technology dependence, through his work by transferring the gaps, contradictions, and absurdities of our everyday digital lives to physical settings. The effect is twofold. The works create an at-times bizarre confrontation with our own ignorance of globally active platform capitalism, and they renegotiate network activities as political forms of participation on an analog level using the potential of public space. Bartholl thus initiates a performative process to catalyse a renewed understanding of individual action within a collective and self-determined network discourse. Conceptually and technically, he uses the same aesthetics, codes, and communication patterns that users are familiar with from YouTube, Instagram, and video games. A purposeful contextualisation employs the logic of the Internet while at the same time undermining it with individual strategies.

",https://arambartholl.com/wwwppp/wp-content/uploads/2021/08/hypernormalisation-aram-bartholl-arnsberg-2021-10-photo-nadja-buttendorf-scaled-600x900.jpg,,"Hypernormalisation, 2021",,https://arambartholl.com/info/,"Identity, Language, Data, Human Becoming Computer, Human’s Life",
leftDoubleImage,,"Aram Bartholl, Hypernormalisation, 2021","This page looks into Bartholl's Hypernormalisation, 2021. In this work, visitors of the Bürgeramt Arnsberg (administration office) are invited to have their portrait taken which in the following is analysed by a face recognition software. In the next step the participants select an emoji to have their face ‘over-recognised’. The typical mark points of the face recognition (nose tip, left eyebrow, chin …) are replaced with the chosen emojis. Covered in large emojis the portrait becomes a mask, hiding the actual individual. The resulting picture is printed on site on A3+ photo paper for the participants to take home.",https://arambartholl.com/wwwppp/wp-content/uploads/2021/08/hypernormalisation-aram-bartholl-arnsberg-2021-02-scaled-1000x667.jpg,https://arambartholl.com/wwwppp/wp-content/uploads/2021/08/hypernormalisation-aram-bartholl-arnsberg-2021-07-scaled.jpg,"Hypernormalisation, 2021",,https://arambartholl.com/hypernormalisation/,"Identity, Language, Human’s Life",
leftDoubleImage,,"Aram Bartholl & Nadja Buttendorf, Post Snowden Nails, 2016","Post Snowden Nails is a project Bartholl did with Nadja Buttendorf who invited Bartholl to her nail art program Nadjas Nail Art Residency. All pictures & more info at her residency-page. Post-Snowden Nails is a set of five micro SDcards glued to the finger nails of one hand. Each card contains a different set of data which can be accessed with the help of a SD-card-USB adapter. The data finger nail plugs directly into a computer USB port (or phone), in some cases an extension cable might be useful. Each finger has a different function: Thumb -> Live Linux OS. A full operating system on a thumb nail. This is a real thumb drive! 2 GB | Index -> 6000 books of Henry Warwicks offline Library “Alexandria Project”, also see “The radical Tactics of the Offline Library“, 32 GB | Middle -> A collection of more than 66.000 computer viruses from the virus archive collective VX Heaven, 7 GB | Ring -> The full data base of deaddrops.com. All Dead Drops which have been made since 2010 and the content of the the five original Dead Drops which were exhibited at the MoMA in 2011, 6.5 GB | Pinky -> The full english Wikipedia including the offline reader Kiwix to browse some of the 5 million articles offline. 62 GB.",https://arambartholl.com/wwwppp/wp-content/uploads/2018/03/aram_bartholl_post_snowdon_nails_2016_01-600x400.jpg,https://arambartholl.com/wwwppp/wp-content/uploads/2018/03/aram_bartholl_post_snowdon_nails_2016_12-600x400.jpg,"Post Snowden Nails, 2016",,https://arambartholl.com/post-snowden-nails/,"Data, Human to Computer",
left,"Feingold, Ken","USA, AI, VR","Ken Feingold (USA, 1952 - ) is a contemporary American artist based in New York City. Since the 1990s, Feingold's works are literally capable of carrying on conversations. Written with his original forms of software, these listening and speaking animatronic heads - digitally and pneumatically activated lifelike silicone portraits - hear and understand English speech. A number of the works also involve digital projections in which the screens are the ""mental projections"" of the figures, video inside-out; that is, the inner ""imaginary"" workings of these figures, and how people interact with them, control what is seen. He has been one of the first practitioners of interactive art and of algorithmic cinema. The conversations that these figures carry on are neither completely scripted nor are they random; rather, the software gives each a ""personality"", a vocabulary, associative habits, obsessions, and other peculiarities, which make their conversations quirky, surprising, and often hilarious. They challenge our understanding of our relationship with emerging forms of artificial life.",https://cca.cornell.edu/wp-content/uploads/2022/11/Ken-Feingold-Courtesy-of-Artist-769x1024.jpg,,"The Animal, Vegetable, Mineralness of Everything, 2004",,https://www.kenfeingold.com/docs/Feingold_short_catalog.pdf,"Identity, Existence, Post-humanism, Language, Communication, Human’s Life, Computer’s Life",
left,,"Ken Feingold, The Animal, Vegetable, Mineralness of Everything, 2004","Three self-portraits, each possessing an animal, vegetable, or mineral mind, debate the nature of violence with each other, and discuss their fears – generally their fears about each other. They also wonder about “that thing” before them, and we hear how they project their own interior worlds onto it in an attempt to figure out what it really is. Although they hear each other, nothing seems to penetrate or influence their ideas; no matter what the subject matter discussed, they eventually return to their own interests and fixed ideas.
The dialog is not pre-recorded, and is different each time someone visits it, generated in real time by a computer program. The conversations that these figures carry on are neither completely scripted, nor are they random; rather, the software gives each a ""personality"", a vocabulary, associative habits, obsessions, and other quirks of personality which allow them to behave as if in a scene of film, acting out their role over and over, but always changing. The project was funded by The Rockefeller Foundation Media Arts Fellowships.",https://cca.cornell.edu/wp-content/uploads/2021/11/AVM_OF_EVERYTHING-791x1024.png,,"The Animal, Vegetable, Mineralness of Everything, 2004",,"https://www.kenfeingold.com/avme1.html, https://www.youtube.com/watch?v=HSBLQUWK9ls","Identity, Existence, Post-humanism, Language, Communication, Human’s Life",
left,,"Ken Feingold, Sinking Feeling, 2001","Sinking Feeling is a single head, quite convinced of its own existence, but desperate to know ""Why don’t I have a body like everyone else?"" or ""How did I get here, what am I doing here?"" The ""cognition"" of this figure is made visible in a projection - the ones who speak with it literally see both their own words as they are heard by this figure, and in the formulation of a reply, something of the head’s ""thought process"". That he is growing out of flowerpot also points to questions about biological engineering and human parts as cash crops. Like ""Head""(1999), ""Sinking Feeling"" draws gallery visitors into a one-on-one conversation with a complex artificial life form. In the jury statement from Vida 3.0 (a 2000 international competition on artificial life held by Fundación Telefónica, Madrid, in which ""Head"" was a prize winner), ""Feingold chooses to explore the zones of non-response, of mischief and misbehavior, or distortion, of scrambled and failed communication. [It] makes us question the basis of everyday dialogue we tend to take for granted: how far is our exchange with others conditioned and limited by our own, thoroughly encoded eccentricities, our own programmed bugs and quirks? When indeed true communication occurs, how much is this just a matter of chance?""",artworkKFeingold.jpg,,"Sinking Feeling, 2001",,"https://www.kenfeingold.com/catalog_html/sinking.html, https://www.youtube.com/watch?v=GitKKzsG-2M","Identity, Existence, Post-humanism, Language, Communication, Computer’s Life",
